Id,Name,Desc,Content
1046,LeagueIntroduceValue3,升降级规则介绍,赛季结束时，排行榜前三名升级到高一级别联赛，排行榜末三名降级到低一级别联赛。1级联赛的末三名不会被降级。
1047,LeagueIntroduceTitle4,冠军赛资格,冠军赛资格
1048,LeagueIntroduceValue4,冠军赛资格介绍,赛季结束时，排行榜前四名球队获得冠军赛资格。
1049,LeagueIntroduceTitle5,禁赛规则,体力规则
1050,LeagueIntroduceValue5,禁赛规则介绍,球员每出场1分钟扣1点体能。在场下每小时恢复8点体能。（部分球员还有减少体能消耗和恢复体能的天赋技能）。
1051,IntroduceText,介绍,介绍
1052,RewardText,奖励,奖励
1053,CompitionNameText,比赛名称,{level}级{name}
1054,MyGameText,我的比赛{state},我的比赛{state}
1055,NotImplementedText,未进行,未进行
1056,UnderwayText,已进行,已进行
1057,EliminatedText,已淘汰,已淘汰
1058,DateString2,MM月dd日,MM月dd日
1059,StatisticsText,{win}胜 {faild}负,{win}胜 {faild}负
1060,RankText,排名,排名
1061,TheNewTimeHasBeenSet,新的时间已设定,新的时间已设定。
1062,RecycleConfirmText,回收的物品包含橙色及以上品质，确认要回收吗,回收的物品包含橙色及以上品质，确认要回收吗？
1063,HomeFormationText,我方使用,我方使用
1064,AwayFormationText,对方使用,对方使用
1065,CupIntroduceTitle1,杯赛赛制,杯赛赛制
1066,CupIntroduceValue1,杯赛赛制介绍,采用64支球队抽签一战定胜负的淘汰赛制，一届杯赛有64强赛、32强赛、16强赛、8强赛、半决赛、决赛等6轮比赛。
1067,CupIntroduceTitle2,排名规则,排名规则
1068,CupIntroduceValue2,排名规则介绍,排名时先看胜场，次看场次，再看净胜分，再看得分。如全部相同时，则先创建的球队排名在前。
1069,CupIntroduceTitle3,加时赛规则,加时赛规则
1070,CupIntroduceValue3,加时赛规则介绍,若48分钟未分出胜负，则进入加时赛。加时赛是5分钟。
1071,CupIntroduceTitle4,点球大战,点球大战
1072,CupIntroduceValue4,点球大战规则介绍,若加时赛也还未分出胜负，则进入点球大战。
1073,CupIntroduceTitle5,禁赛规则,禁赛规则
1074,CupIntroduceValue5,禁赛规则介绍,无。
1075,WinText,比赛胜利,比赛胜利
1076,FailText,比赛失败,比赛失败
1077,DeuceText,平局,平局
1078,CupRewardText,杯赛奖励,杯赛奖励
1079,DeleteEmail,删除,删除
1080,ReceiveEmail,领取,领取
1081,Ago,前,前
1082,OverDue,后过期,后过期
1083,LeagueDayTxt,联赛比赛日,联赛比赛日
1084,CupDayTxt,杯赛比赛日,杯赛比赛日
1085,LeagueRecordTxt,联赛战绩,联赛战绩
1086,CupRecordTxt,杯赛战绩,杯赛战绩
1087,Exp,经验,经验
1088,Diamond,钻石,钻石
1089,Euro,钞票,钞票
1090,DayTxt,第{value}天,第{value}天
1091,InProgressTxt,进行中,进行中
1092,RecruitAppointLimit,心愿球员列表限制,请先进行100次普通球探搜索，当前次数{RecruitTimes}/100
1093,BoardTxt,董事会,董事会
1094,MeTxt,我,我
1095,ClerkTxt,秘书,秘书
1096,Guide1Txt,欢迎您加入{name}俱乐部。\n董事会正在等待与您进行一次简短的交流。,欢迎您加入{name}俱乐部。\n董事会正在等待与您进行一次简短的交流。
1097,Guide2Txt,在开始训练之前，先见见球队里的球员吧。\n他们非常想和你聊一聊。,在开始训练之前，先见见球队里的球员吧。\n他们非常想和你聊一聊。
1098,Guide3Txt,看来您与董事会已经充分交流过了。\n今天正好有一场热身赛，也许您\n可以先看看球员的表现。,看来您与董事会已经充分交流过了。\n正好全明星队在这里，可以切磋一下，您\n可以先看看球员的表现。
1099,Guide4Txt,这真是一场 ……嗯……很棒的比赛。您已经很清楚球队的实力了，是吧？\n我们还是立刻开始训练吧，他们已经在<color=#1A7CC1>训练场</color>等您了。,这真是一场 ……嗯……很棒的比赛。您已经很清楚球队的实力了，是吧？\n我们还是立刻开始训练吧，他们已经在<color=#1A7CC1>训练场</color>等您了。
1100,WaitingForTxt,球员们正在训练场等您,球员们正在训练场等您。
1101,Guide5Txt,也许我们应该在<color=#1A7CC1>联赛新赛季</color>开始前尽快提升一下训练水平。\n就这么简单，升级训练……经验提升……解锁新的训练！,也许我们应该在<color=#1A7CC1>联赛新赛季</color>开始前尽快提升一下训练水平。\n就这么简单，升级训练……经验提升……解锁新的训练！
1102,UpgradeFirstTxt,请先升级第一个训练项目,请先升级第一个训练项目。
1103,ConfirmTxt,确认,确认
1104,GoTxt,前往,前往
1105,NetworkConnectionTimeout,网络连接超时,网络连接超时。
1106,ChangeNumberConfirm,更换球员号码提示,<color=#0c8227>{numberValue}号</color>目前是<color=#0c8227>{Name}</color>，是否更换号码?
1107,MonthRewardTxt,月签到奖励,月签到奖励
1108,MonthRewardCostTxt,是否花费10钻石补签？,是否花费10钻石补签？
1109,RecycleToStarText,可回收成星晶,可回收成星晶
1110,RecycleToEruoText,可回收成金币,可回收成金币
1111,HasCount,拥有,拥有：
1112,NormalProp,普通道具,普通道具
1113,BoxProp,宝箱类,宝箱道具
1114,SplinterProp,球员碎片,球员碎片
1115,MaterialProp,材料道具,材料道具
1116,DiamondDesc,钻石描述,篮球世界中最稀有的资源，可以购买稀有道具，或招募顶级球员。
1117,EruoDesc,金币描述,篮球世界中流通的基础货币，可用于解锁特技，或升星球员。
1118,ExpDesc,经验描述,训练经验是篮球世界中宝贵的资产，可用于训练项目的升级，或进行强化训练。
1119,GuysDesc,球员描述,球员，是决定比赛胜负的关键因素。
1120,ResourcesDesc,资源,资源
1121,Guys,球员,球员
1122,PropRecycleTip,已拥有则转为球员碎片,已拥有则转为球员碎片。
1123,UnknownClub,未知队伍,未知队伍
1124,BestPositionTitle,球员的开始最好位置,{propName}的推荐位置
1125,PropertiesTxt,属性,属性
1126,Guide6Txt,战中引导,双方你来我往，转眼间90分钟的比赛就结束了……
1127,Guide6BtnTxt,战中引导按钮,回到俱乐部
1128,LvTxt,级,级
1129,HourTxt,小时,小时
1130,SecondTxt,秒,秒
1131,MinuteTxt,分钟,分钟
1132,MakeAdditionTxt,翻{value}倍,翻{value}倍
1133,VSTxt,对阵,对阵
1134,CmTxt,厘米,厘米
1135,KgTxt,千克,千克
1136,VersionTxt,版本号,版本号
1137,Guide7Txt,您的球队已经初具雏形，现在开始你的环球之旅吧,您的球队已经初具雏形，现在开始你的环球之旅吧。
1138,Guide8Txt,您已获得了参加联赛的资格。,您已获得了参加联赛的资格。
1139,Guide9Txt,你可以在此界面查看敌我双方的信息并根据敌方信息对阵容做出调整，准备好迎接你的第一场比赛吧,你可以在此界面查看敌我双方的信息并根据敌方信息对阵容做出调整，准备好迎接你的第一场比赛吧。
1140,Guide10Txt,你需要在此模式里挑战来自五大洲的球队，挑战模式会提高可观的经验产出。点击挑战正式开启你的环球之旅,你需要在此模式里挑战来自五大洲的球队，挑战模式会提高可观的经验产出。点击挑战正式开启你的环球之旅。
1141,Guide11Txt,我们的球探找到了一名优秀的球员，快来看看吧,我们的球探找到了一名优秀的球员，快来看看吧。
1142,ChargeErrorTitle,充值失败,充值失败。
1143,ChargeError1,未满8周岁的用户不能付费,未满8周岁的用户不能付费。
1144,ChargeError2,8周岁以上未满16周岁的用户，单次充值金额不得超过50元人民币，每月充值金额累计不得超过200元人民币,8周岁以上未满16周岁的用户，单次充值金额不得超过50元人民币，每月充值金额累计不得超过200元人民币。
1145,ChargeError3,16周岁以上的未成年用户，单次充值金额不得超过100元人民币，每月充值金额累计不得超过400元人民币。,16周岁以上的未成年用户，单次充值金额不得超过100元人民币，每月充值金额累计不得超过400元人民币。
1146,ChallengeCompletedTxt,你已击败所有{name}俱乐部,你已击败所有{name}俱乐部。
1147,UnlockChallengeTxt,解锁第4个训练项目后开放挑战玩法,解锁第4个训练项目后开放挑战玩法
1148,Guide12Txt,联赛分组已完成，快去看看吧！,联赛分组已完成，快去看看吧！
1149,Shootout,轮次,轮次
1150,NeedToUnlockRecruit,挑战赛通关第三关开放招募,挑战赛通关第三关开放招募
1151,LeagueRewardRankTitleTxt,联赛排名奖励标题,联赛排名第{rank}的奖励
1152,LeagueRewardRankContentTxt,联赛排名奖励内容,你的球队{team}在{level}级联赛中，排名{rank}，获得了排名奖励
1153,CupRewardRankTitleTxt,杯赛排名奖励标题,杯赛排名第{rank}的奖励
1154,CupRewardRankContentTxt,杯赛排名奖励内容,你的球队{team}在{level}级杯赛中，排名{rank}，获得了排名奖励
9000,None,无,无
9001,SystemError,系统错误,系统错误。
9002,ExpNotEnough,经验不足,经验不足。
9003,MoneyNotEnough,钞票不足,钞票不足。
9004,DiamondNotEnough,钻石不足,钻石不足。
9005,CardUpgradeFail,球员升级失败,球员升级失败。
9006,MergeCardFail,球员合成失败,球员合成失败。
9007,UpgradeGoodsNotEnough,升星道具不足,升星道具不足。
9008,CanNotUpgradeStar,不能升星,不能升星。
9009,RecruitDayMax,每日招募次数达到上限,招募次数达到上限。
9010,RecruitPointNotEnough,招募点不足,招募点不足。
9011,UnLock,项目未解锁,解锁跑位训练后开放该功能。
9012,ErrorAlreadyFull,该球员已满星,该球员已满星。
9013,RecruitAppointPositionRepeat,心愿球员每个位置只能选择1名球员,每个位置只能选择1名球员。
9014,RecruitAppointFull,心愿栏已满,你的心愿栏已满。
9015,RecruitAppointAlreadyHit,你已实现今日心愿,你已实现今日心愿。
9016,UnLockSkillRepeat,特技重复解锁,该特技已经解锁。
9017,UnLockSkillConditionsNotMet,特技解锁条件不满足,特技解锁条件不满足。
9018,NoItemStrengthen,没有项目可强化,没有项目可强化。
9019,SkillTrainRoomSelectCardNull,特技学习没有选卡,特技学习没有选卡。
9020,SkillTrainRoomSelectSkillNull,特技学习没有选特技,特技学习没有选特技。
9021,SkillTrainRoomNoIdle,没有空闲的房间,没有空闲的房间。
9022,SkillTrainSelectSkillDoTraining,该特技正在被其他球员学习,该特技正在被其他球员学习。
9023,SkillTrainSelectSkillCanNotTrain,球员品质不足，无法学习该特技,球员品质不足，无法学习该特技。
9024,SkillTrainSelectSkillHaveBeenTrain,已掌握此项特技,已掌握此项特技。
9025,SkillTrainSelectCardDoTraining,该球员正在学习中,该球员正在学习中。
9026,SkillTrainSelectCardCanNotTrain,该球员品质不足，无法学习该特技,该球员品质不足，无法学习该特技。
9027,SkillTrainSelectCardHaveBeenTrain,已掌握此项特技,已掌握此项特技。
9028,InventoryUseMinNumber,已达最小数量,已达最小数量。
9029,AlreadyHavePlayer,你已拥有该球员,你已拥有该球员。
9030,DebirsNotEnough,碎片不足,碎片不足。
9031,LineupCardCanNotFight,阵容交换，不能上场,该球员已被禁赛，无法上阵。
9032,ChooseMaterial,请先选择回收材料,请先选择回收材料。
9033,TimeHasExpired,时间已过期,时间已过期。
9034,ChangeTimeError,只有主场球队才可以修改比赛时间,只有主场球队才可以修改比赛时间。
9035,FightFormationError,战斗时获取阵容失败,没有可以使用的阵容，无法战斗。
9036,FormationTemplateMax,保存阵型模板超过99,自建阵型数已达上限。
9037,FormationTemplateRepeatName,阵型模板名字重复,名字重复。
9038,CompitionIsNotReady,赛季筹备中,赛季筹备中。
9039,SellOutToday,该商品今日已售罄,该商品今日已售罄。
9040,BuyError,未能成功购买，请检测网络或联系客服,未能成功购买，请检测网络或联系客服。
9041,ChallengeNoChance,今日已无挑战次数,今日已无挑战次数。
9042,FormationTemplateNameTooLong,阵型模板名字超过20字,阵型模板名字太长。
9043,SellOut,该商品已售罄,该商品已售罄。
9044,IllegalName,名称包含敏感词，请重新输入,名称包含敏感词，请重新输入。
9045,NameOverflow,名称超出上限，请重新输入,名称超出上限，请重新输入。
9046,NameRepetition,名称重复，请重新输入,名称重复，请重新输入。
9047,NameEmpty,请输入俱乐部名称,请输入俱乐部名称。
9048,SameJersey,主客场及客场备选队服主颜色不能完全相同,主客场及客场备选队服主颜色不能完全相同。
9049,UnlockOneTrainItem,请先解锁一个训练项目,请先解锁一个训练项目。
9050,UnlockRequirements,请先达成解锁要求,请先达成解锁要求。
9051,PleaseFinishTheTask,请先完成任务,请先完成任务。
9052,RecruitCanDiamond,招募点不足但钻石足够,招募点不足但钻石足够。
9053,GoalKeeperCannotBeNull,守门员不能为空,守门员不能为空。
9054,CanOnlySwitchCardFiveTime,比赛期间最多只能更换5次球员,比赛期间最多只能更换5次球员。
9055,RenameCardIsNotEnough,改名卡不足,改名卡不足。
9056,ReviseNameIsNotQualified,名字不合规,队名不符合要求。
9057,LeagueNotOpenTip,联赛未开启上次赛事提示,联赛开打后，开放该功能。
9058,NoLastMatchMessageTip,联赛开启后没有上次赛事,暂无比赛信息。
9059,NoGamePreviewTemporarily,暂无比赛预览,暂无比赛预览。
9060,NoMyGameTemporarily,暂时没有比赛信息,暂时没有比赛信息。
9061,NoTenTrainCanUnclock,解锁10个训练项目后开启赛事,解锁10个训练项目后开启赛事。
9062,LeagueNotReadyTip,联赛正在筹备中,联赛正在筹备中。
9063,CupFirstOpenNotReady,完成一届联赛后开放杯赛,完成一届联赛后开放杯赛。
9064,CupNotReadyTip,杯赛正在筹备中,杯赛正在筹备中。
9065,ChangeTimeErrorTip,临近比赛时间小于180分钟时，不能再做调整,临近比赛时间小于180分钟时，不能再做调整。
9066,NoMoreBackupCard,没有更多球员了,没有更多球员了
9067,NoNeedToExchangeBackup,候选室球员无需换位,候选室球员无需换位
9068,NoReserveCard,暂无候选人员,暂无候选人员
9069,FiveExchangeOneGameAtMost,每场比赛最多更换五名替补,每场比赛最多更换五名替补
9070,NoTenTrainCanUnclockArena,解锁10个训练项目后开启竞技场,解锁10个训练项目后开启竞技场
9071,CanNotUpgradeQuality,不能升阶,不能升阶
